Sorted list of BTC addresses
BTC address;Amount (Satoshi)
----------------------------------
1HKbDo1PeKPDcRzxCinvahTpusbHywEK3o;35110553
1LTeBD92UdbjTGHS3dqiuB87eK8ywdUGzc;29540788
38tyw9v4RULjY2wqHJ5K9iAXcQLauGJQff;27132888
3MT41mmK9WdaDPPjpfSe5TxF4JjL9aBZFU;14481766
1CKZWxL9b6SCS9xwr7hPKmQPSBwmNVnbg9;14040093
172m4g9TBG8ftFpw7Goe5HK18a3pEsZyAJ;12537190
3FM986dSUyW8aWgtJLmYyqnBTSJQJvGwSb;11188998
3815jFREPX6id4bcF1NYgfyrcbYZXcH97u;10037270
1NeNFtiGKcVaykWBH9K9FYytAiB39ynokY;9660000
1LtSpd5JbJCM8Vev8p2Zhs3hsNYF7naSA6;9562104
111u5Bbmz7gmaf2NXVyciTjCfdfqejzWm;8095237
3LbbHzXZCcBnM6ozNB6m12TkVELvTSdiqy;7168458
12G5tX8nJCySrrtsj8WVyUJxmFs3wKteFu;6999844
1JhcNjCXPz1biiCVYervGPYLXHSbgfR6QE;6412344
3ENrNA9BUtEXD8FMuXrkgXvNWUMdpK5UdJ;6400000
1PzyzJiD2k7Ze78GFRMXcJoecqLrVKu9Ug;6153687
155qGVMHKuJnVZ6mVELEc98eaaBhnKsw2H;4568236
1MEfyCRRwTnhAnRzDrJrYgh8QCumpVxDHq;4000000
182ACiZTRT5cgs2evv3YrStgTiGFWTyfFf;3803010
1P4KKhXD9uE1HgXyRHhq2xqYBoEyHGJvNp;3764980
1GC7dff1eGjNZSmaTacUMGwNBsWfUiSCe3;3588000
39aqdSeFKL4QKw97VZjdf6ftWy7bEqj7yT;3522680
1434rBThbYoadFecvAMmW4tFut3xLLk4gE;3332592
3CFQNtbSFDxTxqeMC3pNNSm8rYyCUZLLGD;3087700
3AzphPiAgBafNbr84Aby4etRJZHiAcLUac;2889286
3CM93ekfXexvTaUx5KVeh4cv2dWaCLE6Zp;2734076
1257rFgSWKTnpbXENbJqytds3KsCgTCMVW;2409335
1H1vAWUpPr45k4o31kXBgTLtEYou3RP3ef;2328331
351icDgZ68fuGnd9abXVaUtSUPWMsW9nmp;2091162
1JYGNwaaQGEusBeoL9BfSRqFpiyNzm6Cn;2065960
3BMVgX3dGqnAVv21KdzbaPhhkFevDN9x8p;1825589
13TVDXpUnXJQpEztfPbiSKsZ1UyEUWUAQv;1810000
3PfMNR1cBevGhyEK6bEMzp48iX3jAWfTzC;1800000
32KZQjkJ2xNzsDvBAquLEMGqSJWtbg35RC;1800000
39qQsEr7AqEgNLbXyQugRcgrKZAPkbiLBk;1693100
1FMPz261ioQ9G1ZpnGVmuUKCb4jvqRSpRs;1571759
3JfwnpVYyppZcwoMCtDWmHSY6XEJUi9fHM;1440000
3Kn9QY6KcHNyN27EcGPvTPx4bAzbDKb1rh;1364808
3DfVvVFYqf7nd68eKVmK3a7SgXUCeXFefb;1291252
12JqqeMxV3rvib2f26Z1U2JDR3ki7ARFMu;1273220
1Md72Vhge1hErMaF7Jzk1QcCEVM9aQsnHg;1240540
14ZhCQAmQNdTNULFgURhE1SsBaupLktUEb;1231419
3NhRG77xEwH76uWmEXL4nuBq6mRr4HudR8;1169109
1FrMQkpmC5DXReZLVZn4TtymU8j3Y5sPtC;1157618
3D6gonhYNJjrn8UWVyGCYDBr64duxHLZS3;1038739
3MsBqydhY7zr9CRBQFStdBZBwcXcMwshPV;1001000
3B1GuatNKnFTAKXoGKFdfuHtXmVnAFzwkj;944690
1ENfLBtFZL78Z1FB7Jh25kgLAfkPZatrfD;938482
1JFX9MwzCwStJLf7XyyutUJK922qbKdvHQ;936000
1E3hHBuibDRQfLPea2Z68Rov1xBQVkUpTw;911000
14hxJuQTeezLwV4rwUhe5STgqAxd9hpcSZ;907655
1QBNQWAnz5oBTSTgEa8R6DGzan5ayJhbwn;820961
1Grx2XUpaEuZ7AWGJWD7HyRkuknepcFk9v;768525
17TA5nk7uSgPeziCZkNyaLfhiAj1HxFpQH;689812
3KBZk2nfjeoKBcXngYYPQJG5CPAyrtxpjG;630197
158WBKnMJdDSqpwkR76aWRxShdVLTx1ioM;567900
3PjfE3HVprBRQ2enGi1aMBv6otbAR6n5Ay;550973
3A5aQEc273f587W9n6eRLeWGfAPy8mvGvX;500000
1CipannoS328LqVMuhg7YjLg9uTSFXfK8J;467157
3M4FDCDjqAnbnkemkHeGw2dSVjeuPBwRr4;466987
3HRfqXQ3jav6keQvGv6Thi8tAFgo3q1LEi;400000
3B7Ja7gwindqzA856R2Sv2MiQnKVkiL1hd;397000
1FTBwebCJUfUPcdEVfTjtvQXUse9rCEDzi;381000
3LfgvSdQHXNHP6sYS8dVsA3vRgPdmcYofG;380381
17wjAGr6bT27rAmcqq5kHecUYArwPc6qvr;366700
1MrTum1EFV8rNzjCWcGopFF2iRUKQbmCFU;343808
3KJy6XXWMupnWt3Mz6gEzKA4nhdGpPUgAv;329911
1J3Wf82jauVzfGJ8FnXhYNQjRkEaPrW1mv;317380
3Dd91NJzCHRqo1fMK1kbHfVjJ5ube5bsAx;300000
3JytahAVKireSQ2ediZ8SwBoUtRhH5yJo3;292650
3EjhjUirQJnTgFaS7inuAPQLU8JLLtZFQK;290000
1Gbv72ListqSsHeeFu517uQ9TAvvv41qxS;272408
3715rbMZCw34TLquN8mdMWM8y5cohny5cJ;262000
1NyPCYXaEf1MXeKnBWqAJVzzooAv3bPnnc;253171
3JG1in1zWPLz8XrSZEHFCPuzqjxiz6E8sY;251000
3EKZcHqjRrzoD8Ue478X3R1ixg3VyzroGP;246525
341Kt9kozyKDz8wBuAw7MMqFpsgcxUbt9f;242398
1G6QnLEfpVriaTx6ksHsBih8VhHSgp4KCd;233879
