AppStore ID,App Name,Weekly Charge,Mothly Charge,Annual Charge,Max Annual total
id951704333,Filterra - Photo Editor,$4.99,,,$259.48
id536422900,Frames - Picture Collage Maker,$6.99,$6.99,$30.99,$363.48
id1361012099,Facelab - Face Editor & Beauty,$5.99,,,$311.48
id1439312630,TeasEar: ASMR Slime Antistress,$7.99,$24.99,,$415.48
id1338755035,StoryChic - IG Story Templates,$1.99,$14.99,$29.99,$179.88
id417582128,Photo Splash - photo editor,$2.99,$6.99,$30.99,$155.48
id1459969523,Nebula: Horoscope & Astrology,$9.99,$14.99,$29.99,$519.48
id1085015907,"Sweet Selfie:Photo Editor, Cam",$4.99,$7.99,$24.99,$259.48
id454172632,Cartoon yourself & caricature,$9.99,$9.99,,$519.48
id1448364002,Astroline: The Daily Horoscope,$8.99,$9.99,$29.99,$467.48
id1099718747,FLMX - Video Editor,$4.99,$6.99,$29.99,$259.48
id1466604853,Stickerfy: Sticker Maker,$6.99,$9.99,$59.99,$363.48
id1332651082,Pixomatic - Background eraser,$2.99,$7.99,$29.99,$155.48
id939421784,SpeedPro Slow speed video edit,$2.99,$6.99,$30.99,$155.48
id1425742487,Fortunescope: Palm Reader,$9.99,,,$519.48
id1435584540,Music Zen - Relaxing Sounds,$7.99,,$89.99,$415.48
id1457046754,Sticker Maker - BeSticky,$4.99,$9.99,$29.99,$259.48
id1488900664,Picsjoy: Photo Editor & Cutout,$4.99,$14.99,$49.99,$259.48
id421785759,Photo To Sketch - Drawing book,$3.99,$6.99,$30.99,$207.48
id1509656049,FX Master,$9.99,,$29.99,$519.48
id1471631164,"Mood Balance: Journal, Tracker",$6.99,$29.99,$59.99,$363.48
id1490818231,Presets for Lightroom - Vidl,$3.99,$9.99,$29.99,$207.48
id779522558,Jigsaw Puzzle - Brain Games,$7.99,,$99.99,$415.48
id1505322988,Lift: Story Maker,$4.99,,$59.99,$259.48
id1466069710,Dazzle - Insta stories editor,,$9.99,$39.99,$119.88
id1122479790,Baby Sticker- Track Milestones,$7.99,$4.99,$39.99,$415.48
id1477300670,Life Palmistry - AI Palm & Tag,$8.99,$14.99,$79.99,$467.48
id1397274369,Girl Games & Fun Cooking Games,$8.99,,$47.99,$467.48
id1510762680,Photoly Remove Object & Editor,$8.99,$14.99,$24.99,$467.48
id1490238689,Facetory: Face Yoga & Exercise,$9.99,$39.99,$29.99,$519.48
id1477897886,VOCHI Cool Video Effects Maker,$7.99,$9.99,$89.99,$415.48
id1477300425,Lucky Life - Future Seer,$7.99,$24.99,$59.99,$415.48
id1466730381,Voice Changer - Avatar,$9.99,$14.99,$59.99,$519.48
id1462734018,Face Seer -Time Traces,$8.99,$25.99,$59.99,$467.48
id1138339822,Dazz Cam- D3D Photo Effect,$7.99,$5.99,$29.99,$415.48
id1482730806,Translator -AI & Real time,,$19.99,,$239.88
id1519375722,Picsloop-Cartoon & D3D Effect,$7.99,$19.99,$79.99,$415.48
id1528112173,Beat.ly Music Video Maker,$7.99,,$29.99,$415.48
id1418599707,Funny Clip Maker,$9.99,$19.99,$69.99,$519.48
id1324079403,Pixel - Color by Number,,$8.99,$49.99,$107.88
id1287078595,Cartoon Photo Editor-Comic Art,$4.99,,$29.99,$259.48
id1458322572,"Youni – Photo Effects, Presets",$7.99,$7.99,$54.99,$415.48
id1519401508,UltraFX - Effect Video Maker,$9.99,,$29.99,$519.48
id1448228271,Girl Games: Unicorn Slime,$9.99,,$69.99,$519.48
id1460654148,Everbloom – Stories Editor,,$9.99,$39.99,$119.88
id1330592794,Impresso - Insta Story Editor,,$14.99,$49.99,$179.88
id1450250541,PDF Scanner: Document Scan,$7.99,$19.99,$19.99,$415.48
id769940884,Zodianic Astrology & Horoscope,$9.99,$14.99,$49.99,$519.48
