PlayStore ID,App Name,In-App Purchases,Downloads
com.gismart.realpianofree,Piano Free - Keyboard with Magic Tiles Music Games,$1.49 - $89.99 per item,"100,000,000"
com.edjing.edjingdjturntable,edjing Mix - Free Music DJ app,$0.99 - $114.99 per item,"50,000,000"
com.gismart.guitar,"Real Guitar Free - Chords, Tabs & Simulator Games",$1.99 - $89.99 per item,"50,000,000"
com.playland.fancyslime,Fancy Slime,$9.99 - $59.99 per item,"10,000,000"
com.fortunescope,FortuneScope: live palm reader and fortune teller,$1.99 - $49.99 per item,"10,000,000"
com.vicman.toonmeapp,ToonMe - Cartoon yourself photo editor,$4.99 - $34.99 per item,"10,000,000"
com.mwm.guitar,"Guitar - play music games, pro tabs and chords!",$5.49 - $114.99 per item,"10,000,000"
com.mwm.drum,Drums: real drum set music games to play and learn,$5.49 - $114.99 per item,"10,000,000"
com.gismart.realdrum2free,Drum Set Music Games & Drums Kit Simulator,$1.49 - $89.99 per item,"10,000,000"
com.gismart.drum.pads.machine,Drum Pads - Beat Maker Go,$0.99 - $69.99 per item,"10,000,000"
com.gismart.piano.games.music.keyboard,Piano - Play & Learn Music,$1.99 - $89.99 per item,"10,000,000"
com.mwm.sampler,Beat Maker Pro - music maker drum pad,$0.99 - $79.99 per item,"10,000,000"
faceapp.aging.young.ai.face,"Magic Face:face aging, young camera, fantastic app",$28.99 - $99.99 per item,"5,000,000"
com.lyrebirdstudio.cartoon,"ToonApp: AI Cartoon Photo Editor, Cartoon Yourself",$1.99 - $54.99 per item,"5,000,000"
com.palmsecret.horoscope,"Palm Secret - Palm Reader, Cartoon Photo, Fun",$25.99 - $96.99 per item,"5,000,000"
com.academy.soular.star,Palmistry,$24.99 - $94.99 per item,"5,000,000"
com.horoastroline,"Daily horoscope, palmistry, numerology - Astroline",$3.99 - $69.99 per item,"5,000,000"
instagramstory.maker.unfold,Insta Story Art Maker for Instagram - StoryChic,$0.99 - $29.99 per item,"5,000,000"
com.video.fxmaster,FX Master,$14.99 - $59.99 per item,"5,000,000"
com.gismart.karaoke,Karaoke - Sing Songs!,$7.99 - $64.99 per item,"5,000,000"
com.meditation.deepsleep.relax,"Relax - Daily Palmistry, future baby, palm Scanner",$9.99 - $94.99 per item,"1,000,000"
com.lifeadvisor.pro,"Life Advisor: Baby predict, Palm Reader&Face aging",$9.99 - $99.99 per item,"1,000,000"
com.appland.qrscanner,QR & Barcode Scanner,$2.49 - $94.99 per item,"1,000,000"
com.orionhoroscope.daily.horoscope,"Palm reader - horoscope, palmistry and divinations",$0.99 - $33.99 per item,"1,000,000"
com.palm.reading.predict.palmistry,Palmistry: Predict Future by Palm Reading,$9.99 - $89.99 per item,"1,000,000"
genesis.nebula,Nebula: Horoscope & Astrology,$9.99 - $119.99 per item,"1,000,000"
com.life.palm,Life Palmistry - AI Palm&Gender&Prediction,$7.99 - $89.99 per item,"1,000,000"
